Date,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,SPY
2018-07-13,47.80405807495117,52.188594818115234,42.54038619995117,26.910400390625,23.183168411254883,76.23335266113281,64.55033874511719,24.923274993896484,25.16861152648925,33.65559005737305,20.47699737548828,247.5428466796875
2018-07-16,47.66532897949219,52.3183708190918,42.33874130249024,26.599868774414062,23.59561538696289,75.77108764648438,64.28777313232422,24.72330665588379,25.031333923339844,33.57670974731445,20.457517623901367,247.3214569091797
2018-07-17,47.6745719909668,52.3693733215332,42.70170593261719,26.493995666503903,23.62139320373535,76.18975067138672,64.54161834716797,25.04665946960449,24.86353874206543,33.82725143432617,20.441925048828125,248.32196044921875
2018-07-18,47.535865783691406,52.33692932128906,42.3548698425293,26.51165199279785,23.99947166442871,76.25080108642578,65.25056457519531,24.81265640258789,24.77202033996582,33.771575927734375,20.33669853210449,248.8443298339844
2018-07-19,47.20293045043945,52.21640396118164,42.37907028198242,26.518705368041992,23.638580322265625,75.82341003417969,65.22431182861328,24.902000427246097,25.00845527648925,33.65094375610352,20.52376747131348,247.9058532714844
2018-07-20,47.04570770263672,51.984649658203125,42.637184143066406,26.426958084106445,23.681549072265625,75.67511749267578,65.15428161621094,24.79989242553711,24.787273406982425,33.66022109985352,20.379566192626957,247.62257385253903
2018-07-23,47.23991012573242,51.92901992797851,42.371002197265625,26.31050491333008,24.008071899414062,75.8321304321289,64.75165557861328,24.66374015808105,24.7186336517334,33.83189010620117,20.2353572845459,248.0830078125
2018-07-24,47.57284164428711,51.77605056762695,42.4516716003418,26.6422176361084,24.076812744140625,76.52118682861328,65.02297973632812,24.98284149169922,24.64999008178711,34.01747512817383,20.30551147460937,249.3312835693359
2018-07-25,47.91503143310547,52.15614318847656,42.77429962158203,26.86452293395996,24.12836265563965,77.49809265136719,66.01202392578125,25.178550720214844,24.894044876098636,34.44432067871094,20.36397361755371,251.4562835693359
2018-07-26,46.107940673828125,51.882659912109375,43.00015258789063,27.157411575317383,24.11977195739746,77.280029296875,66.51969909667969,25.32320022583008,24.977941513061523,33.9153938293457,20.582231521606445,250.863037109375
2018-07-27,45.23303985595703,51.74823760986328,43.0566291809082,27.040966033935547,24.17132377624512,76.72180938720703,66.52845001220703,25.22960090637207,24.74913787841797,33.335453033447266,20.51597595214844,249.1631774902344
2018-07-30,44.52093505859375,51.3357048034668,43.00822448730469,27.26327133178711,24.18851661682129,76.76543426513672,65.87200927734375,25.182802200317383,24.726253509521484,32.81581497192383,20.391254425048828,247.8616943359375
